step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
41386,2023-07-03 15:20:40.426954593,1,192.3,109.0,-0.08335254241218187,0.056792142412190966,0.009999999999990905,0.0165604
41387,2023-07-03 15:20:40.426954593,2,192.3,253.0,-0.1312799363588116,0.10471953635882071,0.009999999999990905,0.0165604
41388,2023-07-03 15:20:40.730440906,2,192.3,121.0,-0.09710881803554472,0.08031621803554471,0.0,0.0167926
41398,2023-07-03 15:20:49.095289770,1,192.29,65.0,-0.19614522322317263,0.17959252322317262,0.0,0.0165527
41400,2023-07-03 15:20:49.614650644,2,192.3,65.0,-0.27551718204303965,0.25398218204301576,0.005000000000023874,0.016535
41421,2023-07-03 15:21:02.289183747,1,192.295,253.0,-0.2755176820430396,0.25398218204301576,0.005000000000023874,0.0165355
41423,2023-07-03 15:21:03.923007995,1,192.3,149.0,-0.14349039102150787,0.12699109102150788,0.0,0.0164993
41424,2023-07-03 15:21:04.489105211,1,192.29,247.0,-0.09828540928928839,0.07183700928926906,0.010000000000019327,0.0164484
41430,2023-07-03 15:21:08.781177080,2,192.3,120.0,-0.27128518204301577,0.25398218204301576,0.0,0.017303
41432,2023-07-03 15:21:08.781177080,2,192.3,245.0,-0.1968955232231726,0.17959252322317262,0.0,0.017303
41435,2023-07-03 15:21:08.940139275,1,192.3,61.0,-0.27061088204301575,0.25398218204301576,0.0,0.0166287
41437,2023-07-03 15:21:08.941642480,1,192.3,114.0,-0.17510082184874912,0.1586118218487491,0.0,0.016489
41438,2023-07-03 15:21:08.941714593,2,192.3,169.0,-0.1869391272365729,0.1703764272365729,0.0,0.0165627
41439,2023-07-03 15:21:08.941842354,2,192.3,157.0,-0.1180619728172063,0.1015928728172063,0.0,0.0164691
41442,2023-07-03 15:21:12.747396179,1,192.3,110.0,-0.3756973464463452,0.35918504644634525,0.0,0.0165123
41443,2023-07-03 15:21:16.010290508,1,192.3,101.0,-0.27071558204301577,0.25398218204301576,0.0,0.0167334
41449,2023-07-03 15:21:16.011263276,2,192.3,241.0,-0.38582914644633615,0.35918504644634525,0.009999999999990905,0.0166441
41452,2023-07-03 15:21:16.012863948,2,192.3,90.0,-0.28082908204300666,0.25398218204301576,0.009999999999990905,0.0168469
41453,2023-07-03 15:21:16.012863948,1,192.3,117.0,-0.28082908204300666,0.25398218204301576,0.009999999999990905,0.0168469
41458,2023-07-03 15:21:16.804545781,2,192.29,93.0,-0.20674362322319195,0.17959252322317262,0.010000000000019327,0.0171511
41460,2023-07-03 15:21:16.804545781,2,192.29,37.0,-0.28113328204303506,0.25398218204301576,0.010000000000019327,0.0171511
41462,2023-07-03 15:21:16.804577637,1,192.29,237.0,-0.15432879102152722,0.12699109102150788,0.010000000000019327,0.0173377
41466,2023-07-03 15:21:16.805786579,1,192.29,91.0,-0.20490102742166688,0.18835822742166689,0.0,0.0165428
41469,2023-07-03 15:21:25.141815855,2,192.29,214.0,-0.10708221803556404,0.08031621803554471,0.010000000000019327,0.016766
41471,2023-07-03 15:21:25.141815855,1,192.29,179.0,-0.23773944541147107,0.21097344541145174,0.010000000000019327,0.016766
41472,2023-07-03 15:21:25.141859917,1,192.29,73.0,-0.09363466911275478,0.06719736911273545,0.010000000000019327,0.0164373
41473,2023-07-03 15:21:25.141867479,2,192.29,129.0,-0.2811048820430351,0.25398218204301576,0.010000000000019327,0.0171227
41475,2023-07-03 15:21:25.141867479,2,192.29,125.0,-0.09432006911275478,0.06719736911273545,0.010000000000019327,0.0171227
